observation_id,student_id,observed_on,category,observation_text,source_role,follow_up_required,status
OBS00001,S0001,2026-08-11,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00002,S0002,2026-08-17,attendance,Recent first-hour attendance was affected by recurring transport delays; mentor is reviewing a practical attendance plan.,mentor,True,OPEN
OBS00003,S0003,2026-08-27,support,Student reported a short-term family responsibility affecting attendance and study time; mentor scheduled a follow-up.,mentor,True,OPEN
OBS00004,S0004,2026-08-07,attendance,Recent first-hour attendance was affected by recurring transport delays; mentor is reviewing a practical attendance plan.,mentor,True,OPEN
OBS00005,S0005,2026-08-06,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00006,S0006,2026-08-12,attendance,Recent first-hour attendance was affected by recurring transport delays; mentor is reviewing a practical attendance plan.,mentor,True,OPEN
OBS00007,S0008,2026-08-19,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00008,S0009,2026-08-04,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00009,S0010,2026-08-29,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00010,S0011,2026-08-28,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00011,S0014,2026-08-22,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00012,S0019,2026-08-06,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00013,S0021,2026-08-26,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00014,S0031,2026-08-03,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00015,S0033,2026-08-06,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00016,S0051,2026-08-15,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00017,S0052,2026-08-26,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00018,S0053,2026-08-11,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00019,S0054,2026-08-22,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00020,S0055,2026-08-14,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00021,S0056,2026-08-26,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00022,S0058,2026-08-21,academic_performance,Student is finding Computer Networks difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00023,S0060,2026-08-18,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00024,S0061,2026-08-09,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00025,S0073,2026-08-16,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00026,S0077,2026-08-22,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00027,S0078,2026-08-20,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00028,S0101,2026-08-05,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00029,S0102,2026-08-08,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00030,S0103,2026-08-09,support,Student reported a short-term family responsibility affecting attendance and study time; mentor scheduled a follow-up.,mentor,True,OPEN
OBS00031,S0104,2026-08-08,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00032,S0105,2026-08-13,attendance,Recent first-hour attendance was affected by recurring transport delays; mentor is reviewing a practical attendance plan.,mentor,True,OPEN
OBS00033,S0106,2026-08-03,health_related,Absent for three consecutive days due to fever; mentor requested a check-in after return.,mentor,True,OPEN
OBS00034,S0108,2026-08-28,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00035,S0111,2026-08-11,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00036,S0123,2026-08-28,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00037,S0129,2026-08-28,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00038,S0136,2026-08-29,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00039,S0151,2026-08-24,health_related,Absent for three consecutive days due to fever; mentor requested a check-in after return.,mentor,True,OPEN
OBS00040,S0152,2026-08-25,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00041,S0153,2026-08-15,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00042,S0154,2026-08-21,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00043,S0155,2026-08-11,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00044,S0156,2026-08-16,academic_performance,Student is finding Computer Networks difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00045,S0157,2026-08-05,academic_performance,Student is finding Computer Networks difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00046,S0159,2026-08-25,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00047,S0162,2026-08-03,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00048,S0201,2026-08-25,support,Student reported a short-term family responsibility affecting attendance and study time; mentor scheduled a follow-up.,mentor,True,OPEN
OBS00049,S0202,2026-08-12,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00050,S0203,2026-08-18,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00051,S0204,2026-08-23,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00052,S0205,2026-08-19,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00053,S0206,2026-08-05,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00054,S0207,2026-08-12,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00055,S0208,2026-08-20,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00056,S0209,2026-08-23,academic_performance,Student is finding Computer Networks difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00057,S0210,2026-08-28,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00058,S0211,2026-08-07,academic_performance,Student is finding Database Management Systems difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00059,S0212,2026-08-17,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00060,S0223,2026-08-09,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00061,S0233,2026-09-01,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00062,S0251,2026-08-18,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00063,S0252,2026-08-20,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00064,S0253,2026-08-06,attendance,Repeated late arrival to first-hour classes observed over the last two weeks; attendance recovery target discussed.,mentor,True,OPEN
OBS00065,S0254,2026-08-09,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00066,S0255,2026-08-30,academic_performance,Student is finding Design and Analysis of Algorithms difficult and has requested additional problem-solving support.,mentor,True,OPEN
OBS00067,S0256,2026-08-13,attendance,Recent first-hour attendance was affected by recurring transport delays; mentor is reviewing a practical attendance plan.,mentor,True,OPEN
OBS00068,S0257,2026-08-05,attendance,Recent first-hour attendance was affected by recurring transport delays; mentor is reviewing a practical attendance plan.,mentor,True,OPEN
OBS00069,S0258,2026-08-14,attendance,Recent first-hour attendance was affected by recurring transport delays; mentor is reviewing a practical attendance plan.,mentor,True,OPEN
OBS00070,S0260,2026-08-23,assessment,Missed one internal assessment and two quiz attempts; subject support is being considered before the next checkpoint.,mentor,True,OPEN
OBS00071,S0268,2026-09-01,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00072,S0272,2026-08-25,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00073,S0280,2026-08-11,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00074,S0281,2026-08-12,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00075,S0285,2026-08-13,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
OBS00076,S0288,2026-08-07,improvement,Attendance and assignment completion improved after the previous mentor follow-up.,mentor,False,CLOSED
