alert_id,student_id,teacher_id,risk_type,risk_score,priority_score,confidence_level,intervenability_score,created_at,alert_status,intervention_id,intervention_type,suggested_action,action_taken,intervention_date,follow_up_date,outcome_status,outcome_notes,risk_score_after_intervention
ALT00001,S0001,T001,attendance,56.4,50.3,Medium,Medium,2026-08-27,ACKNOWLEDGED,INT00001,mentor_check_in,Schedule a check-in to understand the cause of absences,Schedule a check-in to understand the cause of absences,2026-08-30,,,,
ALT00002,S0001,T001,backlog,83.5,61.9,High,Medium,2026-08-26,NEW,,,Connect student with subject-specific remedial support,,,,,,
ALT00003,S0001,T001,support_attention,100.0,72.7,High,Medium,2026-08-24,ACKNOWLEDGED,INT00003,mentor_check_in,"Reach out proactively for a supportive, non-academic conversation","Reach out proactively for a supportive, non-academic conversation",2026-08-26,,,,
ALT00004,S0002,T002,attendance,59.4,47.4,Medium,Medium,2026-08-25,ACKNOWLEDGED,INT00004,mentor_check_in,Schedule a check-in to understand the cause of absences,Schedule a check-in to understand the cause of absences,2026-08-27,,,,
ALT00005,S0002,T002,backlog,71.0,53.7,High,Medium,2026-08-24,NEW,,,Connect student with subject-specific remedial support,,,,,,
ALT00006,S0002,T002,support_attention,100.0,74.5,High,Medium,2026-08-27,ACKNOWLEDGED,INT00006,mentor_check_in,"Reach out proactively for a supportive, non-academic conversation","Reach out proactively for a supportive, non-academic conversation",2026-08-30,,,,
ALT00007,S0003,T003,attendance,60.3,49.0,Medium,Medium,2026-08-26,ACTION_TAKEN,INT00007,mentor_check_in,Schedule a check-in to understand the cause of absences,Schedule a check-in to understand the cause of absences,2026-08-27,,,,
ALT00008,S0003,T003,backlog,63.0,51.7,Medium,Medium,2026-08-27,NEW,,,Connect student with subject-specific remedial support,,,,,,
ALT00009,S0003,T003,support_attention,100.0,74.1,High,Medium,2026-08-25,ACKNOWLEDGED,INT00009,mentor_check_in,"Reach out proactively for a supportive, non-academic conversation","Reach out proactively for a supportive, non-academic conversation",2026-08-28,,,,
ALT00010,S0006,T003,attendance,78.1,73.3,High,High,2026-08-26,FOLLOW_UP,INT00010,mentor_check_in,Schedule a check-in to understand the cause of absences,Schedule a check-in to understand the cause of absences,2026-08-27,2026-09-02,,,
ALT00011,S0007,T001,support_attention,55.0,42.7,Medium,Medium,2026-09-01,FOLLOW_UP,INT00011,mentor_check_in,"Reach out proactively for a supportive, non-academic conversation","Reach out proactively for a supportive, non-academic conversation",2026-09-04,2026-09-12,,,
ALT00012,S0008,T002,support_attention,55.0,50.5,Medium,Medium,2026-08-25,ACTION_TAKEN,INT00012,mentor_check_in,"Reach out proactively for a supportive, non-academic conversation","Reach out proactively for a supportive, non-academic conversation",2026-08-26,,,,
ALT00013,S0009,T003,support_attention,55.0,42.8,Medium,Medium,2026-08-27,ACTION_TAKEN,INT00013,mentor_check_in,"Reach out proactively for a supportive, non-academic conversation","Reach out proactively for a supportive, non-academic conversation",2026-08-29,,,,
